text,label
"Đặt 2 quyển 'Dế Mèn Phiêu Lưu Ký' giúp tôi, ship tới 56 Hai Bà Trưng, Hải Phòng, liên lạc qua 0987654321.",place_order
Bạn có thể tóm tắt nội dung 'Tuổi Trẻ Đáng Giá Bao Nhiêu' cho tôi không?,detail_book
"Tôi muốn đặt 2 cuốn 'Không gia đình', giao đến 78 Trần Phú, Đà Nẵng, liên hệ 0978123456.",place_order
Có thể xem mục lục của 'Không gia đình' không?,detail_book
"Tôi muốn đặt 2 cuốn 'Tuyển tập thơ mùa hạ', giao đến 99 Phan Chu Trinh, Huế, liên hệ 0978123456.",place_order
"Tôi muốn đặt 3 cuốn 'Không Gia Đình', giao đến 123 Nguyễn Trãi, Hà Nội, liên hệ 0978123456.",place_order
"Tôi muốn đặt 1 cuốn 'Không gia đình', giao đến 78 Trần Phú, Đà Nẵng, liên hệ 0934567890.",place_order
"Làm ơn gửi cho tôi 2 bản 'Sapiens: Lược Sử Loài Người' đến địa chỉ 56 Hai Bà Trưng, Hải Phòng, số điện thoại 0987654321.",place_order
"Tôi muốn đặt 5 cuốn 'Không Gia Đình', giao đến 56 Hai Bà Trưng, Hải Phòng, liên hệ 0912345678.",place_order
"Hãy gửi 1 quyển 'Tuyển tập thơ mùa hạ' cho tôi, địa chỉ 78 Trần Phú, Đà Nẵng, số 0978123456.",place_order
"Làm ơn gửi cho tôi 2 bản 'Sherlock Holmes Toàn Tập' đến địa chỉ 99 Phan Chu Trinh, Huế, số điện thoại 0987654321.",place_order
"Tôi cần mua 3 cuốn 'Tuổi Trẻ Đáng Giá Bao Nhiêu', xin giao tới 99 Phan Chu Trinh, Huế, gọi 0909123456 khi đến.",place_order
"Đặt 4 quyển 'Tuổi Trẻ Đáng Giá Bao Nhiêu' giúp tôi, ship tới 56 Hai Bà Trưng, Hải Phòng, liên lạc qua 0909123456.",place_order
"Làm ơn gửi cho tôi 2 bản 'Không Gia Đình' đến địa chỉ 123 Nguyễn Trãi, Hà Nội, số điện thoại 0912345678.",place_order
Cho tôi hỏi sách 'Tuyển tập thơ mùa hạ' có bao nhiêu trang?,detail_book
Ai là tác giả của 'Hoàng Tử Bé' vậy?,detail_book
